Price,Close,High,Low,Open,Volume
Ticker,AEMD,AEMD,AEMD,AEMD,AEMD
Date,,,,,
2017-09-21,262.5,271.5,240.0,252.0,2269
2017-09-22,288.0,288.0,247.5,262.5,2734
2017-09-25,247.5,279.0,240.0,279.0,1924
2017-09-26,222.0,246.0,217.5,246.0,3559
2017-09-27,171.0,223.5,166.5,223.5,11972
2017-09-28,255.0,255.0,177.0,198.0,11721
2017-09-29,231.0,241.5,217.5,226.5,5503
2017-10-02,144.0,157.5,135.0,144.0,25135
2017-10-03,144.0,148.5,141.0,148.5,9340
2017-10-04,145.5,157.5,142.5,148.5,7605
2017-10-05,151.5,154.5,145.5,145.5,5855
2017-10-06,145.5,156.0,144.0,156.0,2543
2017-10-09,142.5,150.0,141.0,147.0,1809
2017-10-10,145.5,148.5,139.5,142.5,1729
2017-10-11,147.0,147.0,139.5,147.0,2897
2017-10-12,153.0,157.5,142.5,147.0,9889
2017-10-13,154.5,168.0,153.0,159.0,9310
2017-10-16,148.5,168.0,144.0,165.0,10086
2017-10-17,145.5,148.5,144.0,148.5,4049
2017-10-18,147.0,147.0,144.0,145.5,2589
2017-10-19,147.0,150.0,142.5,147.0,2545
2017-10-20,148.5,153.0,144.0,147.0,2715
2017-10-23,148.5,153.0,147.0,150.0,1854
2017-10-24,148.5,150.0,145.5,150.0,1333
2017-10-25,145.5,150.0,144.0,147.0,2497
2017-10-26,150.0,154.5,142.5,147.0,3852
2017-10-27,148.5,151.5,144.0,148.5,1579
2017-10-30,147.0,150.0,145.5,150.0,659
2017-10-31,147.0,150.0,147.0,148.5,2399
2017-11-01,145.5,148.5,145.5,147.0,1101
2017-11-02,147.0,148.5,141.0,148.5,2441
2017-11-03,145.5,150.0,141.0,148.5,1982
2017-11-06,138.0,147.0,136.5,145.5,3389
2017-11-07,127.5,135.0,124.5,135.0,3052
2017-11-08,120.0,129.0,118.5,129.0,2397
2017-11-09,133.5,135.0,120.0,123.0,1559
2017-11-10,133.5,141.0,127.5,132.0,1505
2017-11-13,138.0,142.5,132.0,142.5,1045
2017-11-14,142.5,142.5,136.5,141.0,1089
2017-11-15,148.5,148.5,141.0,142.5,1930
2017-11-16,153.0,159.0,147.0,150.0,6588
2017-11-17,145.5,156.0,145.5,153.0,2831
2017-11-20,156.0,163.5,151.5,154.5,5562
2017-11-21,156.0,162.0,156.0,156.0,1601
2017-11-22,157.5,160.5,153.0,157.5,1745
2017-11-24,160.5,160.5,154.5,157.5,903
2017-11-27,159.0,162.0,154.5,157.5,1193
2017-11-28,153.0,159.0,147.0,157.5,1297
2017-11-29,153.0,153.0,147.0,151.5,1099
2017-11-30,154.5,157.5,148.5,157.5,1091
2017-12-01,153.0,160.5,150.0,150.0,1147
2017-12-04,154.5,159.0,151.5,156.0,650
2017-12-05,154.5,159.0,151.5,153.0,2250
2017-12-06,147.0,157.5,145.5,153.0,1479
2017-12-07,142.5,150.0,141.0,148.5,1101
2017-12-08,147.0,153.0,142.5,147.0,647
2017-12-11,148.5,151.5,144.0,147.0,1308
2017-12-12,156.0,159.0,145.5,150.0,2887
2017-12-13,217.5,235.5,151.5,154.5,32871
2017-12-14,183.0,210.0,180.0,195.0,15544
2017-12-15,190.5,204.0,183.0,187.5,7937
2017-12-18,169.5,202.5,165.0,202.5,7463
2017-12-19,168.0,174.0,166.5,171.0,2059
2017-12-20,154.5,166.5,151.5,166.5,3069
2017-12-21,163.5,171.0,153.0,153.0,2871
2017-12-22,168.0,172.5,157.5,163.5,1607
2017-12-26,163.5,174.0,157.5,172.5,2040
2017-12-27,163.5,169.5,162.0,162.0,689
2017-12-28,163.5,172.5,163.5,163.5,1369
2017-12-29,169.5,171.0,165.0,168.0,1787
2018-01-02,174.0,178.5,166.5,172.5,2029
2018-01-03,180.0,186.0,174.0,177.0,2153
2018-01-04,238.5,262.5,183.0,186.0,37892
2018-01-05,234.0,247.5,198.0,240.0,16650
2018-01-08,192.0,225.0,172.5,225.0,7327
2018-01-09,183.0,199.5,180.0,192.0,4021
2018-01-10,189.0,190.5,172.5,183.0,4465
2018-01-11,214.5,220.5,190.5,195.0,4243
2018-01-12,214.5,225.0,204.0,211.5,2297
2018-01-16,207.0,216.0,202.5,210.0,1661
2018-01-17,202.5,208.5,201.0,205.5,1370
2018-01-18,210.0,225.0,205.5,225.0,2363
2018-01-19,207.0,214.5,202.5,214.5,1229
2018-01-22,198.0,207.0,195.0,207.0,1861
2018-01-23,205.5,216.0,192.0,210.0,3015
2018-01-24,199.5,204.0,195.0,202.5,1557
2018-01-25,223.5,243.0,202.5,210.0,5996
